file,dois
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/22371.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/DPP/Digital_Product_Passport_Architecture_GS1inEurope_March_2022.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/DPP/L00001-00089.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/DPP/eviden-y-la-fundacion-iota-crean-un-pasaporte-digital-para-el-seguimiento-de-las-baterias-de-automocion-pr-es.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/IOTA_Whitepaper_ESP.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/Integrating IOTAs Tangle with the Internet of Things for Sustainable Agriculture. A Proof-of-Concept Study on Rice Cultivation.pdf,10.3390/informatics11010003
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/Diseño de sistema de monitorización y consumo de servicios en el hogar a través de Iot y tecnologías Blockchain.pdf",
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/Estudio de la tecnología blockchain y su potencial aplicación para el desarrollo de las energías eléctricas renovables de carácter intermitente.pdf",
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/FAQ-UPDATE-4th-Iteration_clean.pdf",
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/Implementación de blockchain en redes Internet of Things.pdf",
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/Inserción de datos de sensores en cadenas de bloques empleando Raspberry Pi y tecnologías blockchain.pdf",
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/Use of blockchain in the agri-food value chain State of the art in Spain and some lessons from the perspective of public support.pdf",10.1016/j.telpol.2023.102574
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/call-fiche_digital-2023-cloud-data-04_en.pdf",
"DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/PAPERS, ARTICLES, TFGs/cellar_bb8539b7-b1b5-11ec-9d96-01aa75ed71a1.0022.02_DOC_1.pdf",
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/TANGLE 2.0/2005.07778v3.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/TANGLE 2.0/2205.01345v2.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/TANGLE 2.0/Tangle_2.0_Leaderless_Nakamoto_Consensus_on_the_Heaviest_DAG.pdf,
DOCUMENTOS Y PAPERS A INCLUIR EN CHATGPT/iota-whitepaper.pdf,
